Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
SUB142630_0.0,0.0283059983840194,0,0,0,0.0872873356971905,0.0899609138426169,0.106160006222539,0,0,0.16867144229628,0.185314079229844,0,0.209694832837899,0.00540208628230293,0,0,0.00688021662667754,0.00367073296693512,0.0067658188995008,0,0.073910045377898,0.0279764913362958,0,0.512017757300232,0.858167676282381
SUB142630_1.0,0.0303871661570918,0,0,0,0.114218028986611,0.0316108978081485,0.075545920439503,0,0,0.174611007132366,0.0638809709207528,0,0.346180438315831,0.0281848869613274,0.00332607871655778,0,0.0148615670068957,0.00410377942729345,0.0159454493621268,0,0.0670823323710789,0.0300614763944162,0,0.531616530840613,0.846913483419945
SUB142630_3.0,0.0471977319999357,0,0,0.0130338173250868,0.0788318668081191,0.0870394750572954,0.0689991088070234,0,0,0.19274555273604,0.138265079268802,0,0.27576086789769,0,0,0,0.00808619568570635,0.00380855844929888,0.00129217627913643,0,0.0487179178034444,0.0362216518824219,0,0.526825239502651,0.849066370227526
SUB142630_7.0,0.0297580137204947,0.0046164115167583,0,0,0.102179693505034,0.118214612657621,0.0806640263297085,0,0,0.197072380181673,0.151068854282558,0,0.161810396503836,0.00805107486887227,0,0,0.0081843891700966,0.00928419121650086,0,0.00788136304243499,0.0601014693796226,0.061113123624788,0,0.520440731791697,0.853046847662961
SUB142630_14.0,0.0486624781616219,0,0,0.0145653742213452,0.0605576088036823,0.0821228690423516,0.0834848527966111,0,0,0.194582788415028,0.140882233495454,0,0.265148513646744,0.00646439345526797,0,0,0.00759826956780048,0.00320575489162314,0.00135943556765467,0,0.0495910811715503,0.0417743467632658,0,0.556812241111646,0.830296992791728
SUB142601_0.0,0.0718662018496268,0,0,0.011934490576114,0.143643136377572,0.0248416366121828,0.144421242096369,0.00645893903683683,0,0.251936993791595,0.0482441742471443,0,0.148784272168433,0.0191289280333303,0.00144396750992957,0,0.00550984827463286,0.00935697440892204,0.0129351486103805,0,0.0637038897882521,0.0357901566186776,0,0.546010928159641,0.838502682716195
SUB142601_1.0,0.0620288845906239,0,0,0.064229646698455,0.0847678115582875,0.0147821006749309,0.119708052758568,0.00307391508151147,0,0.299093386912425,0.0475445884796577,0,0.158598752557314,0.0154798945854105,0.00447504144130035,0,0.0133786122170894,0,0.0308152357826467,0,0.0412819319996461,0.0407421446621334,0,0.644202425946953,0.77375902658261
SUB142601_3.0,0.0566342755401974,0,0,0.125445905458759,0.0687485321133053,0,0.135815741208859,0,0,0.319162837474131,0.0751926568442894,0,0.129419052867051,4.61820853860211e-06,0,0,0,0.00158558085939489,0.0221732965195809,0,0.0269365666633458,0.0388809362425476,0,0.5842866908569,0.810777337783422
SUB142601_7.0,0.101609512166369,0,0,0.0502020670230263,0.147749206596405,0.0643537300239924,0.0814748659167107,0.0090502651642201,0,0.262956331477988,0.0268641543046153,0,0.109725917559565,0.0143929731561766,0.00376021865485068,0,0.014848331759823,0.000821587657954404,0.00145511558562149,0,0.0501246062085693,0.0606111167441125,0,0.653536853134083,0.767695659572698
SUB142601_14.0,0.0542771128740594,0,0,0.135874722719983,0.0758232936549673,0,0.138319607849452,0,0,0.34558442650667,0.0455192923891979,0,0.116003558970111,0.00255303909480029,0,0,0,0.00129687278216409,0.0259025441787093,0,0.0301951651359932,0.0286503638438921,0,0.664391773404151,0.751229132658335
SUB142631_0.0,0.0368721014537045,0,0,0.000156537557713024,0.0801276670156286,0.0702187207501225,0.0953058089065482,0.0293866342640348,0,0.350241382866624,0.106210055792424,0,0.131615230371507,0.0195594124430818,0.00505310905648258,0,0.0132254251201903,0.000859049603881249,0,0,0.0351959233892493,0.0259729414088082,0,0.645506749530553,0.765991015794748
SUB142631_1.0,0.0185866309390167,0.00140940529891815,0,0.0307628076789906,0.0901905488409042,0.0270408330407253,0.0800595230044372,0.0119379329080481,0,0.304389204502835,0.0759158758412701,0,0.207695945070257,0.0280682822424062,0.00405039177201675,0,0.0135377981934326,0.00827102791448603,0.0272018519190921,0,0.043088550465761,0.0277933903674023,0,0.655584313233656,0.764322753222745
SUB142631_3.0,0.0303129827692168,0,0,0.0833214566910685,0.0517948331559842,0.0635249819411692,0.0645930258026055,0,0,0.344998579745242,0.0995757258297509,0,0.150653536733216,0.00595435203576648,0,0,0.000908191130278056,0.00373690178751734,0.00942624953353582,0,0.0592720472327257,0.0319271356119241,0,0.649594372733553,0.761583618777547
SUB142631_7.0,0.0203167408795991,0,0,0.0279640434466108,0.0800519335727989,0.0315873353525052,0.0909226934720015,0.0157863142213701,0,0.300618092114647,0.121416445201703,0,0.0976540553377875,0.0155152546475673,0.00413163028566562,0,0.0150989610040234,0.00958572745990251,0.00839132694641988,0,0.0583016769455602,0.102657769111838,0,0.648044530290678,0.765809775031672
SUB142631_14.0,0.0230604820798991,0,0,0.0301944773789394,0.103791570800287,0.0583274567595535,0.0718772336720214,0,0,0.304247515074952,0.0732265259419906,0,0.146939499192492,0.0179588333809231,0.0019885683463885,0,0.011166315412947,0.0110293913161166,0.00643489919704102,0,0.0648329134917547,0.0749243179546942,0,0.686686746779708,0.74011866069606
SUB142632_0.0,0.0396024317278084,0,0,0,0.0965439773285779,0.035666009127166,0.0678136493425346,0,0,0.2616779711544,0.164858407924299,0,0.199128726770547,0.0166686318161045,0.0022431976649968,0,0.0135432396493496,0.00721755294353009,0.000528900495995311,0,0.0647620478036141,0.0297452562510764,0,0.535124182761643,0.844019185955475
SUB142632_1.0,0.0169208955850602,0.0137673835530455,0,0,0.0956429977760419,0.0102332128934167,0.0708524961649709,0,0,0.219226743349956,0.103017418504192,0,0.311139731307577,0.0295808277445215,0.00429349538141456,0,0.00766568362768848,0.00771506255632743,0.0261129097355437,0,0.0476830777298852,0.0361480640903591,0,0.520017998986295,0.85328876986766
SUB142632_3.0,0.0162331699576868,0,0,0.0091535195810434,0.0980425054328839,0.0224738670726046,0.0694085769289737,0,0,0.235573534658264,0.201580169360339,0,0.226617737312982,0.0058745058790545,0,0,0.00317729015713604,0.00432709643965178,0.0213598671797487,0,0.0513316537831887,0.034846506256443,0,0.473263187681283,0.884715967256099
SUB142632_7.0,0.0172702260007926,0,0,0,0.147608427756639,0.0462197475219008,0.0705436568254423,0.00734513263604677,0,0.260427947196393,0.202993884742624,0,0.140589725022856,0.0150149958039738,0.00402220251589334,0,0.0121283114853053,0.0055709939022823,0,0,0.0347448269696614,0.0355199216201892,0,0.511781090995518,0.861363109302754
SUB142632_14.0,0.0346771833882513,0,0,0,0.107182625885199,0.0639597423284034,0.0780017317305117,0,0,0.253360406127615,0.134265479739523,0,0.180937504069883,0.0189846052509543,0.00204603836605632,0,0.014572676414508,0.00791703217559889,0.00923499716572951,0,0.0512708092743876,0.0435891680833789,0,0.501304971525476,0.86496417248127
SUB142633_0.0,0.0272135644450054,0,0,0.0563343665759641,0.0978811877132184,0,0.123665300340657,0,0,0.273739468330725,0.188643283757106,0,0.115056691822441,0.00320635991183699,0,0,0.00170008004251953,0.000376505929756702,0.0302940305450194,0,0.0531808497215846,0.0287083108641648,0,0.671160281075992,0.745124257690923
SUB142633_1.0,0.0125166149271173,0,0,0.00780568239579712,0.0687900784694749,0.00617269269690987,0.112990813816062,0,0,0.273359114907487,0.197445439283288,0,0.275427256623976,0.00322381060272945,0,0,0,0.00186282469064696,0.0238023992424502,0,0.00527518044432348,0.0113280918997375,0,0.667409517588493,0.747831239548004
SUB142633_3.0,0.0334322569095504,0,0,0.0431317662821665,0.0891620308377444,0,0.13657024028429,0,0,0.270638143952549,0.191201467875406,0,0.159617880676641,0.00351197726095482,0,0,0.00093195792126632,0.000751026091231157,0.0277291402601398,0,0.0183797595914235,0.0249423520566373,0,0.705957401009411,0.717454470296621
SUB142633_7.0,0.00612907164932579,0.00347377605973528,0,0.0418712813978876,0.094675226146698,0,0.101260492646524,0,0,0.272765316911302,0.247267693157539,0,0.0860314404916246,0,0,0,0.00204907402955145,0.0003235690657618,0.0331095477957694,0,0.0238556836301291,0.0871878270181518,0,0.677597249542836,0.736565084087854
SUB142633_14.0,0.0414059837454385,0,0,0.0726698036412841,0.0939229175476015,0,0.110756147960384,0.000258186447115249,0,0.293893265960653,0.17234898430787,0,0.133049934688113,0.00138908224267528,0,0,0.0014081859595741,0.000527216390359666,0.0144776053854154,0,0.0198992573238996,0.0439934283996175,0,0.74538242802422,0.681272717517008
SUB142634_0.0,0.0222157836567206,0,0,0.0718971702293811,0.0825384206421032,0,0.101934760053846,0,0,0.260500078495546,0.207103769312856,0,0.139781326610694,0,0,0,9.94481797060453e-05,0.00239324109825995,0.0194345548777806,0,0.0577829240931547,0.0343185227499509,0,0.711230671333186,0.711371679733855
SUB142634_1.0,0.0135579364893025,0,0,0.0505515208575305,0.117215794420562,0,0.0866062531547274,0,0,0.220804210898081,0.16921007479276,0,0.257021560793568,0.00708510898357725,0.00130503095412625,0,0.00528364818318836,0.00308848163012196,0.0297276124029697,0,0.0120593815013653,0.02648338493812,0,0.642970809233324,0.770046177455933
SUB142634_3.0,0.00323472404408571,0.00554155260193425,0,0,0.161337083537742,0.0310025565111727,0.0917894298546299,0,0,0.214868923285372,0.165397193084376,0,0.149409169865008,0.0140569833456852,0.00405461042857399,0,0.0163139745977561,0.00744648600644542,0,0,0.0604389076474821,0.0751084051897374,0,0.726602630771741,0.71124709650759
SUB142634_7.0,0.0131936241833707,0,0,0.0176315264154925,0.0990507777108769,0.0200525401825901,0.077056121908376,0,0,0.24369489736664,0.246630397546978,0,0.125921477423005,0,0,0,0.00709987530015557,0.00504068005539639,0.00748840898999708,0,0.0520401077900539,0.0850995651270671,0,0.73701151844746,0.688410566914998
SUB142634_14.0,0.0184509372476093,0.00314682859836127,0,0,0.111090751444211,0.112674083253674,0.0991172887943154,0,0,0.24334460231449,0.166161476616192,0,0.0885293197699965,0.00414873475021772,0.00475717734015736,0,0.0125326558861278,0.00763529546915837,0,0,0.058219342962066,0.0701915055534233,0,0.71846317400348,0.711507529326935
SUB142608_0.0,0.0440786528462967,0,0,0.012884835285926,0.105940542032015,0.0950132189139419,0.0816573735557624,0,0,0.209489113895314,0.1008382879142,0,0.191283486502291,0.00542911784721761,0.00514644868380882,0,0.0155708198835268,0,0,0,0.0604018144752601,0.0722662881644394,0,0.522040950527371,0.852031915597288
SUB142608_1.0,0.0214721274178932,0,0,0,0.048929519784106,0.0656521877122093,0.0455725282714396,0.00162055268813775,0,0.161872610385564,0.0617514879892455,0,0.409507352295072,0.00237992240626512,0.00728386279563726,0,0.00194509094339623,0.00816348984990701,0.00960728827221956,0,0.102192942284255,0.0520490369046517,0,0.549279293185249,0.834950532910889
SUB142608_3.0,0.0364935785504927,0,0,0.0264483905417915,0.0530369403852573,0.0927897871131939,0.0788414261081528,0,0,0.221920318288664,0.0807820214034645,0,0.245030615600958,0.0153231558828943,0.00465221243445528,0,0.0157054356388804,0,0,0,0.0753827273015849,0.0535933907502105,0,0.541871159754411,0.84002186819549
SUB142608_7.0,0.0630146235841084,0,0,0.0367856804698685,0.0904635234215892,0.120448181424123,0.0841886889430367,0,0,0.224409263513757,0.0904752660608922,0,0.138812030138874,0.0102075327796645,0.00485442390115678,0,0.014144718097905,0.00053295169424545,0,0,0.0538950296458973,0.0677680863248826,0,0.489372735680758,0.871913260163376
SUB142608_14.0,0.0406028893780446,0.00176134407450702,0,0,0.111922135712614,0.0772453919422598,0.0761352031165177,0,0,0.195759127355616,0.0790210236400866,0,0.292941393147029,0.0188213741445493,0.00337290609684463,0,0.00771190953151082,0,0,0,0.0631378432676359,0.0315674585927846,0,0.518120294607607,0.854508312000431
SUB142635_0.0,0.0391141287956849,0,0,0.0491046179115864,0.167576544515013,0.0329355363607996,0.0564233179579688,0,0,0.116590254878581,0.0781020104807987,0,0.29920025994823,0.0100676279957642,0,0,0.000769644481129477,0.000103103436245788,0.0279135483139364,0,0.0278769255114989,0.0942224794127627,0,0.634195235202015,0.78222569509365
SUB142635_1.0,0.0300121439771193,0,0,0.0116266085842978,0.163603603747561,0,0.038901866798498,0.00337602605552412,0,0.125321670771467,0.104881806981074,0,0.283175924279988,0.00150388483437426,0,0,0.0015792252674509,0.00043847569001066,0.0285063487852677,0,0.0681200456167347,0.138952368610634,0,0.636667922161986,0.778427329833825
SUB142635_3.0,0.0290346194922016,0,0,0.0182202302376014,0.142339103415206,0,0.0788088483183019,0,0,0.187888441877077,0.114332476719356,0,0.294267748313649,0.000163966538253172,0,0,0.00512662310871583,0.00328337858231165,0.0284550009563437,0,0.0339677223089849,0.0641118401319982,0,0.64476709005343,0.773654977651371
SUB142635_7.0,0.0291879993581538,0.00416861146114571,0,0,0.21236692951046,0.0217053792294838,0.0730301650406134,0,0,0.166572002877362,0.0659619166960271,0,0.228061663597647,0.00917857080030491,0.00563066326971432,0,0.0219325428521954,0,0.0177498586302854,0,0.0608922072166684,0.0835614894599387,0,0.66095305211724,0.768545625851019
SUB142635_14.0,0.044496421392549,0,0,0.0251405838495161,0.154468140927217,0.0116544691998851,0.0524041463033756,0,0,0.17058309196592,0.129443371266432,0,0.321401293026877,0.00683957643942637,0,0,0.00170062393185805,0.00329092294214963,0.0121788565760156,0,0.0405932428161035,0.0258052593626752,0,0.622226781514338,0.788426890127929
SUB142636_0.0,0.0445591402868908,0,0,0.0425605547020747,0.105760412226503,0.0219994856991109,0.0832513106451278,0,0,0.157151696653956,0.14347587337991,0,0.281887361172321,0,0,0,0,0.000943177435783254,0.0173230968668445,0,0.011176331825882,0.0899115591055962,0,0.614470408091277,0.792251913634527
SUB142636_1.0,0.0393526559757979,0,0,0,0.121132305388914,0,0.0810162717453537,0.0200025789327949,0,0.191023373271532,0.110494534301704,0,0.245886332731021,0.0154379862226597,0.00409454516934553,0,0.0124623537903234,0.00729231307296373,0,0,0.0535933150464582,0.0982114343511322,0,0.591376546768434,0.809243692619439
SUB142636_3.0,0.0369984682658747,0,0,0,0.175358984426639,0.00880237761750027,0.0944276901735788,0,0,0.201440117212605,0.116374984264138,0,0.193734599942972,0.011085493294652,0.00245367803383527,0,0.0168095287805855,0.00976353555902812,0.00860936913749121,0,0.0602440815541463,0.063897091736953,0,0.572322510782152,0.821965057462835
SUB142636_7.0,0.0393078000613311,0,0,0.0049307172512845,0.173523119025952,0,0.0852734775355984,0,0,0.204275601606113,0.108636483879694,0,0.210345062254153,0.0178555106738281,0.00168559479926248,0,0.00976322428368731,0.00945019631892818,0,0,0.0433329224382608,0.0916202898719075,0,0.634122622181947,0.781432860485852
SUB142636_14.0,0.0531424933728991,0,0,0.0650903568728882,0.140858729784979,0,0.0726689675555493,0.000272863667892053,0,0.183229766414388,0.0984352207573255,0,0.241933383777191,0.0216214549857073,0.00387925154250431,0,0.0157921840751745,0.00753033238862203,0.0119555431998976,0,0.0504197452017565,0.0331697064032257,0,0.654024716441761,0.771168816342676
SUB142641_0.0,0.064474216880072,0,0,0.0197324143457869,0.187644312956549,0,0.0732169664138086,0.019581490345312,0,0.183038608106278,0.0980070926729795,0,0.224155569867623,0.018310815379254,0,0,0.00893773932194056,0.00797017505602935,0,0,0.0402493228570012,0.0546812757973656,0,0.696220071734198,0.742508468517479
SUB142641_1.0,0.0550088162988691,0,0,0.0204016947512189,0.146030765586069,0,0.0755012336651678,0,0,0.183861055891935,0.071710954698945,0,0.275128596463766,0.0212252541158128,0.00437733548460878,0,0.0071634703793918,0.0095445301391668,0.00429237654242604,0,0.0611928920118156,0.0645610239708067,0,0.574531280491093,0.821294543812779
